date,deaths,name,negative,pending,positive,Travel-related,Local,Unknown
2020-03-12,0,Hungary,593,,16,,,
2020-03-13,0,Hungary,839,,19,,,
2020-03-14,0,Hungary,984,,30,,,
2020-03-15,1,Hungary,1204,,32,,,
2020-03-16,1,Hungary,1431,,39,,,
2020-03-17,1,Hungary,1537,,50,,,
2020-03-18,1,Hungary,1745,,58,,,
2020-03-19,1,Hungary,2249,,73,,,
2020-03-20,3,Hungary,2922,,85,,,
2020-03-03,,Latvia,130,,1,,,
2020-03-04,,Latvia,151,,1,,,
2020-03-05,,Latvia,169,,1,,,
2020-03-06,,Latvia,185,,1,,,
2020-03-07,,Latvia,199,,1,,,
2020-03-08,,Latvia,220,,2,,,
2020-03-09,,Latvia,238,,6,,,
2020-03-10,,Latvia,266,,8,,,
2020-03-11,,Latvia,281,,10,,,
2020-03-12,,Latvia,316,,16,,,
2020-03-13,,Latvia,391,,17,,,
2020-03-14,,Latvia,640,,26,,,
2020-03-15,,Latvia,880,,30,,,
2020-03-16,,Latvia,1113,,34,,,
2020-03-17,,Latvia,1489,,49,,,
2020-03-18,,Latvia,2073,,71,,,
2020-03-19,,Latvia,2591,,86,,,
2020-03-20,,Latvia,3094,,111,,,
2020-03-21,,Latvia,4322,,124,,,
2020-03-22,,Latvia,4988,,139,,,
2020-03-23,,Latvia,5934,,180,,,
2020-03-24,,Latvia,6609,,197,,,
2020-03-25,,Latvia,9575,,221,,,
2020-02-27,0,Lithuania,115,,1,,,
2020-02-28,0,Lithuania,141,,1,,,
2020-02-29,0,Lithuania,164,,1,,,
2020-03-01,0,Lithuania,190,,1,,,
2020-03-02,0,Lithuania,214,,1,,,
2020-03-03,0,Lithuania,230,,1,,,
2020-03-04,0,Lithuania,238,,1,,,
2020-03-05,0,Lithuania,246,,1,,,
2020-03-06,0,Lithuania,253,,1,,,
2020-03-07,0,Lithuania,259,,1,,,
2020-03-08,0,Lithuania,274,,1,,,
2020-03-09,0,Lithuania,287,,3,,,
2020-03-10,0,Lithuania,318,,3,,,
2020-03-11,0,Lithuania,363,,3,,,
2020-03-12,0,Lithuania,436,,6,,,
2020-03-13,0,Lithuania,513,,7,,,
2020-03-14,0,Lithuania,612,,12,,,
2020-03-15,0,Lithuania,724,,18,,,
2020-03-16,0,Lithuania,909,,26,,,
2020-03-17,0,Lithuania,993,,34,,,
2020-03-18,0,Lithuania,1106,,48,,,
2020-03-19,0,Lithuania,1397,,69,,,
2020-03-20,1,Lithuania,1987,,99,,,
2020-03-21,1,Lithuania,2218,,143,,,
2020-03-22,1,Lithuania,2555,,179,,,
2020-03-23,2,Lithuania,3262,,209,,,
2020-03-24,4,Lithuania,3197,,274,,,
2020-03-05,0,Bahrain,5282,,52,,,
2020-03-07,0,Bahrain,6358,,62,,,
2020-03-09,0,Bahrain,7064,,71,,,
2020-03-10,0,Bahrain,8237,,88,,,
2020-03-11,0,Bahrain,8650,,160,,,
2020-03-12,0,Bahrain,8882,,160,,,
2020-03-16,1,Bahrain,11988,,143,,,
2020-03-17,1,Bahrain,13400,,153,,,
2020-03-20,1,Bahrain,18466,,179,,,
2020-03-05,0,"Quebec, Canada",203,,1,,,
2020-03-06,0,"Quebec, Canada",242,,3,,,
2020-03-09,0,"Quebec, Canada",340,,4,,,
2020-03-11,0,"Quebec, Canada",465,,7,,,
2020-03-12,0,"Quebec, Canada",798,,13,,,
2020-03-14,0,"Quebec, Canada",1079,,17,,,
2020-03-05,0,"New Brunswick, Canada",4,,0,,,
2020-03-14,0,"New Brunswick, Canada",18,,1,,,
2020-03-19,0,"New Brunswick, Canada",370,,11,,,
2020-03-20,0,"New Brunswick, Canada",509,,11,,,
2020-03-20 15:00 PM,,Australia Capital,2056,,6,,,
2020-03-20 00:00 AM,,"NSW, AUS",40298,,353,,,
2020-03-20 15:00 PM,6,Austria,13225,,2388,,,
2020-03-20 14:44 PM,1,Bahrain,18926,,172,,,
2020-03-19 00:00 AM,1,"Alberta, CAN",16867,,146,,,
2020-03-19 15:00 PM,8,"British Columbia, CAN",17641,,271,,,
